time,Direction,Lead_hours,Source_time,Speed
2023-09-11 15:00:00+00:00,W,1,1694433600,8.9408
2023-09-11 18:00:00+00:00,WNW,1,1694444400,8.04672
2023-09-11 21:00:00+00:00,W,1,1694455200,7.15264
2023-09-12 00:00:00+00:00,W,1,1694466000,8.04672
2023-09-12 06:00:00+00:00,NW,1,1694487600,9.83488
2023-09-12 12:00:00+00:00,NW,1,1694509200,9.83488
2023-09-12 15:00:00+00:00,NW,1,1694520000,8.9408
2023-09-12 18:00:00+00:00,NNW,1,1694530800,8.04672
2023-09-12 21:00:00+00:00,N,1,1694541600,5.81152
2023-09-13 00:00:00+00:00,NNW,1,1694552400,4.91744
2023-09-13 03:00:00+00:00,N,1,1694563200,3.12928
2023-09-13 06:00:00+00:00,NE,1,1694574000,1.78816
2023-09-13 09:00:00+00:00,SE,1,1694584800,4.02336
2023-09-13 12:00:00+00:00,SE,1,1694595600,4.02336
2023-09-13 15:00:00+00:00,SE,1,1694606400,7.15264
2023-09-13 21:00:00+00:00,SE,1,1694628000,12.070079999999999
2023-09-14 03:00:00+00:00,ESE,1,1694649600,16.98752
2023-09-14 06:00:00+00:00,SSW,1,1694660400,11.176
2023-09-14 09:00:00+00:00,SW,1,1694671200,12.96416
2023-09-14 12:00:00+00:00,SW,1,1694682000,15.19936
2023-09-14 15:00:00+00:00,SW,1,1694692800,16.09344
2023-09-14 18:00:00+00:00,SW,1,1694703600,16.98752
2023-09-14 21:00:00+00:00,WSW,1,1694714400,15.19936
2023-09-15 00:00:00+00:00,WSW,1,1694725200,13.85824
2023-09-15 03:00:00+00:00,W,1,1694736000,12.070079999999999
2023-09-15 06:00:00+00:00,W,1,1694746800,9.83488
2023-09-15 09:00:00+00:00,W,1,1694757600,5.81152
2023-09-15 12:00:00+00:00,WNW,1,1694768400,7.15264
2023-09-15 15:00:00+00:00,NW,1,1694779200,7.15264
2023-09-15 18:00:00+00:00,NW,1,1694790000,7.15264
2023-09-15 21:00:00+00:00,NNW,1,1694800800,8.04672
2023-09-16 00:00:00+00:00,N,1,1694811600,7.15264
2023-09-16 03:00:00+00:00,N,1,1694822400,7.15264
2023-09-16 06:00:00+00:00,N,1,1694833200,8.04672
2023-09-16 09:00:00+00:00,N,1,1694844000,7.15264
2023-09-16 12:00:00+00:00,NNW,1,1694854800,5.81152
2023-09-16 15:00:00+00:00,N,1,1694865600,4.02336
2023-09-16 18:00:00+00:00,N,1,1694876400,1.78816
2023-09-16 21:00:00+00:00,SE,1,1694887200,0.89408
2023-09-17 00:00:00+00:00,SSE,1,1694898000,4.02336
2023-09-17 03:00:00+00:00,SSE,1,1694908800,4.91744
2023-09-17 06:00:00+00:00,SSE,1,1694919600,5.81152
2023-09-17 09:00:00+00:00,SE,1,1694930400,7.15264
2023-09-17 15:00:00+00:00,SSE,1,1694952000,11.176
2023-09-17 18:00:00+00:00,SSE,1,1694962800,11.176
